Date,Location,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,RainToday,RainTomorrow,ColourOfBoats,AverageTemp
1/7/2008,Changi,0,1.4,9.5,WNW,26,SSW,W,6,15,81,37,mEd,Med,0,1,No,No,blue,29.6
1/7/2008,Woodlands,0,4.4,11,E,41,ENE,SSE,13,17,81,32,Med,mEd,1,2,No,No,white,34
1/7/2008,Sentosa,2,2.8,7,W,63,W,W,37,35,60,38,loW,mEd,1,7,,No,blue,27
1/7/2008,Tuas,0,0.8,9.1,ENE,20,,E,0,7,97,53,hIGH,HiGH,2,3,,No,grey,26.1
2/7/2008,Sentosa,0.6,5.2,4,W,63,W,WSW,30,35,66,52,MeD,MED,7,4,No,Yes,red,27.1
2/7/2008,Changi,0,2,9.8,W,30,W,WNW,15,19,41,30,MeD,mEd,0,0,,No,red,28.5
2/7/2008,Tuas,0,1.8,7,NE,22,ESE,ENE,6,9,80,39,higH,HIGh,0,6,No,No,white,27.5
2/7/2008,Woodlands,0,6,10.4,ENE,50,SE,E,15,28,81,17,meD,MED,1,1,,No,white,33.7
3/7/2008,Tuas,0.4,2.2,7.3,NE,31,,WNW,0,4,84,71,MEd,mEd,1,3,No,Yes,red,27.4
3/7/2008,Tuas,0.4,2.2,7.3,NE,31,,WNW,0,4,84,71,MEd,mEd,1,3,No,Yes,red,27.4
3/7/2008,Changi,0,5.8,9.4,E,22,SW,E,7,15,55,52,mED,hiGh,1,4,,No,white,28.8
3/7/2008,Sentosa,1.4,2,0.8,W,39,W,W,17,24,72,58,hIgH,hiGH,7,7,Yes,No,grey,26.4
3/7/2008,Woodlands,0,8,11,E,46,ESE,ENE,22,19,38,24,Med,MEd,0,1,No,No,blue,33.3
4/7/2008,Tuas,1.8,1.2,4.7,W,26,NNE,NNW,11,6,93,73,meD,MED,6,6,Yes,Yes,white,27.9
4/7/2008,Sentosa,0.6,1.8,4.2,E,19,NNW,N,9,7,87,49,HiGH,hIGh,7,6,No,No,white,26.7
4/7/2008,Changi,0.8,1.8,1.1,SW,24,SW,SSE,9,7,76,53,HigH,hIGH,7,7,No,No,red,28.7
4/7/2008,Woodlands,0,7,10.4,E,44,SE,E,22,13,55,16,MEd,mEd,2,6,,No,grey,32.8
5/7/2008,Changi,0,2,0.3,S,37,S,SSW,11,7,81,89,high,high,7,8,No,Yes,red,28
5/7/2008,Tuas,1.8,1.4,4.9,WSW,44,W,SW,13,17,69,57,med,HIGh,7,5,Yes,Yes,grey,27.2
5/7/2008,Tuas,1.8,1.4,4.9,WSW,44,W,SW,13,17,69,57,med,HIGh,7,5,Yes,Yes,grey,27.2
